Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,Normal low,Normal high,Units,Allow decimals,Display precision,_version:1,_order:51,Data class,Data type,Answers
5089AAAAAAAAAAAAAAAAAAAAAAAAAAAA,,WEIGHT,WEIGHT,,,,,,,,,,Misc,Numeric,
5090AAAAAAAAAAAAAAAAAAAAAAAAAAAA,,HEIGHT,HEIGHT,,,,,,,,,,Misc,Numeric,
bfac6f6c-fae1-408d-9031-e24873e853fe,,Body Fat,,,,,,,,,,,Misc,Numeric,
58930de3-365b-4457-9b34-cd1ed74c5071,,Multistage Fitness Test,,,,,,,,,,,Misc,Numeric,
23447ae2-2f79-4476-9efa-68ef04cbc1eb,,Core Strength Test,,,,,,,,,,,Misc,Numeric,
ce4f638c-9b0c-4861-a3bb-e548077dae98,,Sit and Recah Test,,,,,,,,,,,Misc,Numeric,
c827ab65-4872-4904-ba64-fd27082e24f7,,T-Test,,,,,,,,,,,Misc,Numeric,
3854958b-af79-4baa-9276-503e4779d5a5,,5M speed Test,,,,,,,,,,,Misc,Numeric,
a9abc671-75c2-4b32-a285-687f1424fa20,,20M speed Test,,,,,,,,,,,Misc,Numeric,
c81b550c-c96e-40b2-bc7b-c6dd76423a55,,Vertical Jump Test,,,,,,,,,,,Misc,Numeric,
df931d7e-61e0-422d-979b-3cd03c6bd781,,Poor,,,,,,,,,,,Misc,N/A,
47333a53-8c5e-4992-aedd-5e7d844c1217,,Average,,,,,,,,,,,Misc,N/A,
87653bda-b6f6-4db3-a829-33de89468166,,Ability Good,Good,,,,,,,,,,Misc,N/A,
4f70fbfe-04b0-4152-b2da-0395f20f0f36,,Best,,,,,,,,,,,Misc,N/A,
b2b40373-db08-4899-836f-2feeaf0f8342,,Outstanding,,,,,,,,,,,Misc,N/A,
b7c5ed2c-039a-4a42-b5df-1eaa8fcf0392,,Technical Passing,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
412850a6-2b3d-4934-b3e3-31b12016e3eb,,Receiving the ball,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
b7fe9529-f517-4a29-a3a2-c0000aa7baf3,,Shooting the ball,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
20cd8140-815e-42c1-991f-36c9281b23ac,,Defending ability,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
47e2100b-798d-49f1-854c-e989ea01f2d8,,Soccer IQ,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
32e72ec9-f788-4733-a60d-783d2586c16a,,Kicking the ball,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
2d0a9025-4bf4-4c5b-afa6-249d9301bdd7,,Rugby IQ,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
f928916b-6ade-48da-8371-58c639480137,,Arm Action,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
6f007fe7-dcb2-427c-909f-9ef9e0092fc3,,Knee Drive,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
54efa356-2181-4de5-baf2-d83eb29b0729,,Coordibation,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
aa1b9ff4-d4dd-44e9-852e-5bf54f53639f,,Body Position,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
"af59468f-9884-465a-ad73-5780fe20f3c2
",,Breathing,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
"
e0cfaf20-89dc-4c3c-86d8-20cdbe89aae2",,Underwater catch,,,,,,,,,,,Question,Coded,"Poor;
Average;
Ability Good;
Best;
Outstanding;"
c5b736a9-147f-4979-bb9f-341a067b83f3,,Student Assessment Form,,,,,,,,,,,Misc,N/A,