Uuid,Answers,Members,Fully specified name:en,Short name:en,Data class,Data type,_version:1,_order:52
b7c5ed2c-039a-4a42-b5df-1eaa8fcf0392,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Technical Passing,,Question,Coded,,
412850a6-2b3d-4934-b3e3-31b12016e3eb,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Receiving the ball,,Question,Coded,,
b7fe9529-f517-4a29-a3a2-c0000aa7baf3,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Shooting the ball,,Question,Coded,,
20cd8140-815e-42c1-991f-36c9281b23ac,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Defending ability,,Question,Coded,,
47e2100b-798d-49f1-854c-e989ea01f2d8,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Soccer IQ,,Question,Coded,,
32e72ec9-f788-4733-a60d-783d2586c16a,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Kicking the ball,,Question,Coded,,
2d0a9025-4bf4-4c5b-afa6-249d9301bdd7,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Rugby IQ,,Question,Coded,,
f928916b-6ade-48da-8371-58c639480137,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Arm Action,,Question,Coded,,
6f007fe7-dcb2-427c-909f-9ef9e0092fc3,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Knee Drive,,Question,Coded,,
54efa356-2181-4de5-baf2-d83eb29b0729,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Coordibation,,Question,Coded,,
aa1b9ff4-d4dd-44e9-852e-5bf54f53639f,"Poor;
Average;
Ability Good;
Best;
Outstanding;",,Body Position,,Question,Coded,,
"af59468f-9884-465a-ad73-5780fe20f3c2
","Poor;
Average;
Ability Good;
Best;
Outstanding;",,Breathing,,Question,Coded,,
"
e0cfaf20-89dc-4c3c-86d8-20cdbe89aae2","Poor;
Average;
Ability Good;
Best;
Outstanding;",,Underwater catch,,Question,Coded,,
c5b736a9-147f-4979-bb9f-341a067b83f3,,"WEIGHT;
HEIGHT;
Body Fat;
Multistage Fitness Test;
Core Strength Test;
Sit and Recah Test;
T-Test;
5M speed Test;
20M speed Test;
Vertical Jump Test;
Technical Passing;
Receiving the ball;
Shooting the ball;
Defending ability;
Soccer IQ;
Kicking the ball;
Rugby IQ;
Arm Action;
Knee Drive;
Coordibation;
Body Position;
Breathing;
Underwater catch;
",Student Assessment Form,,Misc,N/A,,